ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
1241;"ООО ""Стройтеплосервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 1351108752 от 06.07.2022г. за стяжные болты. В том числе НДС 20.00 % - 1133.33 р.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729784814    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1242;"ООО ""Техстрой""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за материалы по счету № 511 от 15.06.2022г. Сумма 8058-00 В т.ч. НДС  (20%) 1343-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730205490    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1243;"ООО ""КЛС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 256119265-3 от 12.04.2023г. (прокладка S14A) Сумма 22248,00. В т.ч. НДС 20% - 3 708,00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730238062    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1244;"АО ""ИНТЕЛЛЕКТ-ИНТЕХ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предварительная оплата (50%) за товар (теплообменники) по счету N 175119777 от 02.05.2023г. В том числе НДС 20 % - 36525.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730632950    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1245;"ООО ""ТЕХНЭЙМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 242109070 от 13.05.2022 за уплотнение и платитину. Сумма 194340-00 В т.ч. НДС (20%) 32390-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730687050    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1246;"ООО ""САМОЛЕТ-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №  7403 от 08 июля 2022 г. Уплотнение, В т.ч. НДС  (20%) 26493-63;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7731112390    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1247;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАСХОРН ПОЛИМЕР"" Р/С 40702810102090001064";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата по счету №1285 от 07.02.2023 г. за кислотное средство. Сумма 21000-00 В т.ч. НДС  (20%) 3500-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7731115360    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1248;"ООО ""УК ""ПРЕИМУЩЕСТВО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету № 7406 от 08.07.2022 г. - за материалы (реагент). Сумма 42457-50 В т.ч. НДС  (20%) 7076-25;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7731297208    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1249;"ООО ""НАПРА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за пластина канальная, уплотнение по Счету №9889 от 11.08.2023 Сумма 52815-00 В т.ч. НДС  (20%) 8802-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7731309372    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1250;"АО ""ПАЛМ-ГРУПП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету  № 4345 от 07 июля 2023 г., В том числе НДС 20 % - 42423.46 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7731643786    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1251;АО ВНУКОВСКИЕ ОТЕЛИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №13175 от 30.10.2023 за уплотнения из спец.резины В том числе НДС 20% - 5120,50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7732522368    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1252;"ООО ""ПАКЕТТИ-ГРУПП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 12594 ОТ 17.10.2023Г. ЗА НАСОС. В Т.Ч. НДС 20% - 17 397,59 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733115679    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1253;"ООО ""Проморе""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 10273 от 21 августа 2023 г. на насос Сумма 223000-00 В т.ч. НДС(20%) 37166-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733629378    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1254;"ООО ""ГЭХ Закупки""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по договору NГПТЭ-22/045 от 03.11.2022 за поставку товара/продукции согласно счету N1228-050 от 28.12.2022 товарной накладнойN1228-09 от 28.12.2022 В т.ч. НДС 177336-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733667750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1255;ООО АЛЬЯНСГРУПП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 4781 ОТ 22.06.2022Г ЗА НАСОС. СУММА 231608-52. В Т.Ч. НДС (20%) 38601-42;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733674564    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1256;"АО ""ЦентрМаш""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч № 14235 от 27/11/2023г. за насос. В том числе НДС 20% 39120.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733818777    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1257;"ООО ""ГИДРОТЕК"" Р/С 40702810538000001248 ПАО СБЕРБАНК//БИК044525225";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧЕТУ № 1240 ОТ 23.11.2022 Г. ЗА ТОВАРЫ (ТЕПЛООБМЕННИК ПЛАСТИНЧАТЫЙ РАЗБОРНЫЙ S, LIST WN31-2022112212). СУММА 50000-00 В Т.Ч. НДС (20%) 8333-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733877589    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1258;"ООО ""КАУФМАН ТЕХНОЛОДЖИ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 3348 от 30.03.2022 за многоступенчатый вертикальный насос Grundfos CR10-05 A-FJ-A-E-HQQE 3x400D 50 HZ. Сумма 175293-47 В т.ч. НДС  (20%) 29215-58;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733878141    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1259;"ООО ""КОМПАНИЯ ТЕХНОТРЕЙД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;За товар по счету N 146120543 от 24 мая 2023 г. В том числе НДС 20 % - 6857.17 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733879770    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1260;"ООО ""АРД ТЕХНОЛОГИЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 325124112 от 12 сентября 2023 г. за материалы Сумма 86180-00 В т.ч. НДС (20%) 14363-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7733895838    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1261;"ООО ""+РЕСУРС+""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 573 от 24 июня 2022 г. Сумма 84474-00 В т.ч. НДС  (20%) 14079-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734153821    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1262;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХПРОМ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 5 от 17.01.2023 за прокладки (уплотнения). В том числе НДС 20% 15805.67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734416608    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1263;"ООО ""КУЗБАСКОНСЕРВМОЛОКО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №163107872 от 04.04.2022 г. за уплотнение. В том числе НДС 20 % - 3753.33 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734424648    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1264;"ООО ""Комплекс ""Серебряный бор""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата по счету 23688/RUB от 28.02.2023 за насос  Сумма 196910-00 В т.ч. НДС(20%) 32818-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734549559    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1265;"ООО ""ДЕЛОВОЙ ПАРТНЕР""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата по счету 3041 от 10.03.23 за насос wilo il В т.ч. НДС (20%) 36662-53 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734653447    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1266;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КПГ - ИНЖЕНЕРНЫЙ СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N1551111712 от 20.07.2022 за материалы В том числе НДС (20%) 6115-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7734667538    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1267;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКБ ""БУЛАТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N146120326 от 18.05.2023 за пластины Сумма 402100-00 В т.ч. НДС (20%) 67016-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7735075848    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1268;"Филиал УСЗ ПАО ""Газпром""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по договору N USZ-26231 от 30.12.2022 за товар согл. сч. N 146115509 от 11.01.2023, УПД N 230113-02 от 13.01.2023 В т.ч. НДС 23776-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7736050003    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1269;"АНО ДПО ""КОРПОРАТИВНЫЙ УНИВЕРСИТЕТ СБЕРБАНКА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата (50%) по договору № 56294-НОД-22 от 22.03.2022, сч. №2972 от 22.03.2022, за товар Сумма 215524-00 В т.ч. НДС  (20%) 35920-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7736128605    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1270;"ТСЖ ""Зелинского 6""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Окончательная оплата по Дог №2204/ДРО от 25.04.2022г.В том числе В том числе НДС 20 % - 18729.90 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7736603875    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1271;"ООО ""Гринтэк Трейд""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за товар по счету 242114852 от 10.11.2022 г. В том числе НДС 20 % - 6270.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7736634760    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1272;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КМС-М""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N249117317 от 02.02.23 за клей Сумма 3630-00 В т.ч. НДС (20%) 605-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7736673671    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1273;"ООО ""СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за насосы счет №3859 от 29.03.2023г Сумма 24618-00 В т.ч. НДС  (20%) 4103-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7743136928    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1274;"ООО ""ИНЖСТРОЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №5968 от 03 июня 2022 г Комплект уплотнений в т.ч. НДС 20% 7580.90;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7743333997    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1275;"ООО ""НПО ""ВОЛХ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Авансовый платеж по счет-договору №1682 от 13.02.2023г. за насос CDM.  В том числе НДС 20% включенный в сумму - 99580,59;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7743335144    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1276;"ООО ГК ""СЕМЬ ВЕРШИН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Доплата по счету на оплату № 168 от 11.03.2022 материалы. В том числе НДС 20 % - 27373.74 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7743352421    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1277;"ООО ""ТК ИнжСтройКомплект""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 6784 от 29.05.2023г,, за насос. Сумма 449 769,67, в том числе НДС 20 % - 74961.61 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7743745038    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1278;"ООО ""ФАЛИАНТ"" Р/С 40702810038000097778 ПАО Сбербанк//БИК044525225";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ДОПЛАТА 90% ПО СЧ НА ОПЛАТУ № 2009 ОТ 14 ИЮЛЯ 2023 Г. ЗА ПЛАСТИНЫ.НА СУММУ В РАЗМЕРЕ 1014930.00 РУБ. В Т.Ч. НДС 20 % - 169155.00 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7751516320    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1279;"АО ""ХМК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Авансовый платеж по счету № 641 от 30.01.2023 г за насос WILO В том числе НДС 20% включенный в сумму - 39089,60;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7751525847    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1280;"ООО ""КОМБИНАТ ПИТАНИЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за уплотнения по сч. 2271 от 17.02.23 В т.ч. НДС (20%) 10447-57;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7801499923    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1281;"ООО ""ВЕНТ-ЭЛ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 16928 от 18.03.2022 г., за насос, В том числе НДС 20% (20883.33 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7801681153    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1282;"АО ""СИНТО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата по счету N257112942 от 12.09.22 за пластины Сумма 27945-00 В т.ч. НДС(20%) 4657-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802035949    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1283;"ООО ""ЕВРОПРОМ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч. № 81 от 14.03.2022 г. за пластину В т.ч. НДС (20%) 895-17 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802110811    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1284;"ООО ""ЭЛЬТОН-С"" Р/С 40702810055080174453 ПАО СБЕРБАНК//БИК044030653";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧЕТУ № 939 ОТ 07.09.22 Г. ЗА ТМЦ. В Т.Ч. НДС 20 % - 6333.33 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802219463    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1285;"ООО ""АЛЬФА КЛИМАТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;За товар. Счет на оплату № 8487 от 12 июля 2023 г. В том числе НДС 20% (8250 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802278613    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1286;"АО ""Концерн ""МПО - Гидроприбор""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету № 466 от 17.01.23 за насос, в т.ч. НДС 20 % - 55402,67 руб;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802375889    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1287;"ООО ""АНТАРЕС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Аванс за насосные станции по счету № 9537 от 04 августа 2023 г. В том числе НДС 20% 45540.50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802598564    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1288;"ООО ""ТРК-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ №20185/RUB ОТ 08.09.2022Г. ЗА ПЛАСТИНЫ И УПЛОТНЕНИЯ.В Т.Ч. НДС 20% - 5 337,50 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802642439    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1289;ООО ТЕМПИНЖСТРОИ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 9783 от 16.08.2023 г. за насос Сумма 104418-72 В т.ч. НДС  (20%) 17403-12;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802702871    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1290;"ООО ""НПО ""Ленэнергомаш""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №16878 от 15.03.2022 к ДОГОВОРу ПОСТАВКИ № НПОЛЭМ-01-02/22 от 02.02.2022 г. за Канализационная установка Grudfos Sololift2 WC-3 Сумма 84430-00 В т.ч. НДС (20%) 14071-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802753273    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1291;"Общество с ограниченной ответственностью ""СОДРУЖЕСТВО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Частичная оплата по Договору поставки товара № 270 от 14.04.2022 за автоматическую насосную станцию. Сумма 300000-00 В т.ч. НДС  (20%) 50000-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802826725    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1292;"ООО ""Приоритет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 14414 от 29.11.2023 г. Уплотнения для ПТО  Новая 7  Сумма 23232-00 В т.ч. НДС  (20%) 3872-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7802843262    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1293;"ООО ""Техсервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 348126982 от 11.12.2023 Уплотнение проточное, В том числе НДС 20 % = 7484.40.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7804163216    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1294;"АО ""НордЭнерго""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 130117011 от 31.01.2023 г. за материалы (уплотнение) для котельной, Пола, НО. В том числе НДС 20 % - 13800.00 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7804348591    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1295;"ООО ""ЭНИГМА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счёту №3594 от 12 апреля 2022 г. за насосы. В том числе НДС 20% (114996.33 RUB);Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7804377169    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1296;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭТ-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету No 125117443 от 13 февраля 2023 г. В т.ч. НДС 20% ? 3?063,33 руб;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7804592938    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
